code,name
GOOG/SHA_000117,SSE 380 Growth Index Index (000117)
GOOG/SHA_000118,SSE 380 Value Index Index (000118)
GOOG/SHA_000119,SSE 380 Relative Growth Index Index (000119)
GOOG/SHA_000120,SSE 380 Relative Value Index Index (000120)
GOOG/SHA_000121,SSE Health Care theme Index Index (000121)
GOOG/SHA_000122,SSE agriculture theme index Index (000122)
GOOG/SHA_000123,SSE 180 Dynamic Index (000123)
GOOG/SHA_000125,SSE 180 Stability Index (000125)
GOOG/SHA_000126,SSE Consumer 50 Index Index (000126)
GOOG/SHA_000128,SSE380 Fundamental Weighted Index (000128)
GOOG/SHA_000129,SSE180 Volatility Weighted Index (000129)
GOOG/SHA_000130,SSE380 Volatility Weighted Index (000130)
GOOG/SHA_000131,SSE High and New Technology Enterprises Index (000131)
GOOG/SHA_000132,SSE 100 Index (000132)
GOOG/SHA_000133,SSE 150 Index (000133)
GOOG/SHA_000134,SSE Banks Index (000134)
GOOG/SHA_000135,SSE 180 High Beta Index (000135)
GOOG/SHA_000136,SSE 180 Low Beta Index (000136)
GOOG/SHA_000137,SSE 380 High Beta Index (000137)
GOOG/SHA_000138,SSE 380 Low Beta Index (000138)
GOOG/SHA_000139,SSE Convertible Bond Index (000139)
GOOG/SHA_000141,SSE 380 Dynamic Index (000141)
GOOG/SHA_000142,SSE 380 Stability Index (000142)
GOOG/SHA_000145,SSE Select Resources Industries Index (000145)
GOOG/SHA_000146,SSE Select Manufacturing Industries Index (000146)
GOOG/SHA_000147,SSE Select Consumption Industries Index (000147)
GOOG/SHA_000148,SSE Leading Consumption and Services Index (000148)
GOOG/SHA_000149,SSE 180 Dividend Index (000149)
GOOG/SHA_000150,SSE 380 Dividend Index (000150)
GOOG/SHA_000151,SSE State-owned Enterprises Dividend Index (000151)
GOOG/SHA_000152,SSE Central State-owned Enterprises Dividend Index (000152)
GOOG/SHA_000153,SSE Private-owned Enterprises Dividend Index (000153)
GOOG/SHA_000155,SSE Market Value Top 100 Index (000155)
GOOG/SHA_000158,SSE Environmental Protection Industry Index (000158)
GOOG/SHA_000300,CSI 300 Index (000300)
GOOG/SHA_000801,SHA (000801)
GOOG/SHA_000802,SHA (000802)
GOOG/SHA_000803,SHA (000803)
GOOG/SHA_000804,SHA (000804)
GOOG/SHA_000805,SHA (000805)
GOOG/SHA_000806,SHA (000806)
GOOG/SHA_000807,SHA (000807)
GOOG/SHA_000808,SHA (000808)
GOOG/SHA_000809,SHA (000809)
GOOG/SHA_000810,SHA (000810)
GOOG/SHA_000811,SHA (000811)
GOOG/SHA_000812,SHA (000812)
GOOG/SHA_000813,SHA (000813)
GOOG/SHA_000814,SHA (000814)
GOOG/SHA_000815,SHA (000815)
GOOG/SHA_000816,SHA (000816)
GOOG/SHA_000817,SHA (000817)
GOOG/SHA_000818,SHA (000818)
GOOG/SHA_000819,SHA (000819)
GOOG/SHA_000820,SHA (000820)
GOOG/SHA_000821,SHA (000821)
GOOG/SHA_000822,SHA (000822)
GOOG/SHA_000823,SHA (000823)
GOOG/SHA_000824,SHA (000824)
GOOG/SHA_000825,SHA (000825)
GOOG/SHA_000826,SHA (000826)
GOOG/SHA_000827,SHA (000827)
GOOG/SHA_000828,SHA (000828)
GOOG/SHA_000829,SHA (000829)
GOOG/SHA_000830,SHA (000830)
GOOG/SHA_000831,SHA (000831)
GOOG/SHA_000832,SHA (000832)
GOOG/SHA_000833,SHA (000833)
GOOG/SHA_000838,SHA (000838)
GOOG/SHA_000839,SHA (000839)
GOOG/SHA_000840,SHA (000840)
GOOG/SHA_000841,SHA (000841)
GOOG/SHA_000842,SHA (000842)
GOOG/SHA_000843,SHA (000843)
GOOG/SHA_000844,SHA (000844)
GOOG/SHA_000846,SHA (000846)
GOOG/SHA_000901,CSI Southern Well-Off Industry Index (000901)
GOOG/SHA_000902,CSI Free Float Index (000902)
GOOG/SHA_000903,CSI 100 Index (000903)
GOOG/SHA_000904,CSI 200 Index (000904)
GOOG/SHA_000905,CSI 500 Index (000905)
GOOG/SHA_000906,CSI 800 Index (000906)
GOOG/SHA_000907,CSI 700 Index (000907)
GOOG/SHA_000908,CSI 300 Energy Index (000908)
GOOG/SHA_000909,CSI 300 Materials Index (000909)
GOOG/SHA_000910,CSI 300 Industrials Index (000910)
GOOG/SHA_000911,CSI 300 Consumer Discretionary Index (000911)
GOOG/SHA_000912,CSI 300 Consumer Staples Index (000912)
GOOG/SHA_000913,CSI 300 Health Care Index (000913)
GOOG/SHA_000914,CSI 300 Financials Index (000914)
GOOG/SHA_000915,CSI 300 Information Technology Index (000915)
GOOG/SHA_000916,CSI 300 Telecommunication Services Index (000916)
GOOG/SHA_000917,CSI 300 Utilities Index (000917)
GOOG/SHA_000918,CSI 300 Growth Index (000918)
GOOG/SHA_000919,CSI 300 Value Index (000919)
GOOG/SHA_000920,CSI 300 Relative Growth Index (000920)
GOOG/SHA_000921,CSI 300 Relative Value Index (000921)
GOOG/SHA_000922,CSI Dividend Index (000922)
GOOG/SHA_000923,CSI Enterprise Bond Index (000923)
GOOG/SHA_000924,CSI Detachable Convertible Bond Index (000924)
GOOG/SHA_000925,CSI RAFI 50 Index (000925)
GOOG/SHA_000926,CSI Central State-owned Enterprises Composite Index (000926)
GOOG/SHA_000927,CSI Central State-owned Enterprises 100 Index (000927)
GOOG/SHA_000928,CSI Energy index (000928)
GOOG/SHA_000929,CSI Materials index (000929)
GOOG/SHA_000930,CSI Industrials index (000930)
GOOG/SHA_000931,CSI Consumer Discretionary index (000931)
GOOG/SHA_000932,CSI Consumer Staples index (000932)
GOOG/SHA_000933,CSI Health Care index (000933)
GOOG/SHA_000934,CSI Financials index (000934)
GOOG/SHA_000935,CSI Information Technology index (000935)
GOOG/SHA_000936,CSI Telecommunication Services index (000936)
GOOG/SHA_000937,CSI Utilities index (000937)
GOOG/SHA_000938,CSI Private-owned Enterprises Composite Index (000938)
GOOG/SHA_000939,CSI Private-owned Enterprises 200 Index (000939)
GOOG/SHA_000940,CSI Wealth Large Cap Index (000940)
GOOG/SHA_000941,CSI CN Mainland New Energy Index (000941)
GOOG/SHA_000942,CSI China Mainland Consumer Index (000942)
GOOG/SHA_000943,CSI China Mainland Infrastructure Index (000943)
GOOG/SHA_000944,CSI China Mainland Natural Resource Index (000944)
GOOG/SHA_000945,CSI China Mainland Transportation Index (000945)
GOOG/SHA_000946,CSI China Mainland Financials Index (000946)
GOOG/SHA_000947,CSI China Mainland Banks Index (000947)
GOOG/SHA_000948,CSI China Mainland Real Estate Index (000948)
GOOG/SHA_000949,CSI China Mainland Agriculture Index (000949)
GOOG/SHA_000950,CSI 300 Infrastructure Index (000950)
GOOG/SHA_000951,CSI 300 Banks Index (000951)
GOOG/SHA_000952,CSI 300 Real Estate Index (000952)
GOOG/SHA_000953,SHA (000953)
GOOG/SHA_000954,SHA (000954)
GOOG/SHA_000955,SHA (000955)
GOOG/SHA_000956,SHA (000956)
GOOG/SHA_000957,SHA (000957)
GOOG/SHA_000958,SHA (000958)
GOOG/SHA_000959,SHA (000959)
GOOG/SHA_000960,SHA (000960)
GOOG/SHA_000961,SHA (000961)
GOOG/SHA_000962,SHA (000962)
GOOG/SHA_000963,SHA (000963)
GOOG/SHA_000964,CSI Emerging Industries Index (000964)
GOOG/SHA_000965,CSI RAFI 200 Index (000965)
GOOG/SHA_000966,CSI RAFI 400 Index (000966)
GOOG/SHA_000967,CSI RAFI 600 Index (000967)
GOOG/SHA_000968,SHA (000968)
GOOG/SHA_000969,SHA (000969)
GOOG/SHA_000970,CSI ECPI ESG China 40 Index (000970)
GOOG/SHA_000971,SHA (000971)
GOOG/SHA_000972,SHA (000972)
GOOG/SHA_000973,SHA (000973)
GOOG/SHA_000974,SHA (000974)
GOOG/SHA_000977,SHA (000977)
GOOG/SHA_000978,SHA (000978)
GOOG/SHA_000979,SHA (000979)
GOOG/SHA_000980,SHA (000980)
GOOG/SHA_000981,SHA (000981)
GOOG/SHA_000982,SHA (000982)
GOOG/SHA_000983,SHA (000983)
GOOG/SHA_000984,SHA (000984)
GOOG/SHA_000985,SHA (000985)
GOOG/SHA_000986,SHA (000986)
GOOG/SHA_000987,SHA (000987)
GOOG/SHA_000988,SHA (000988)
GOOG/SHA_000989,SHA (000989)
GOOG/SHA_000990,SHA (000990)
GOOG/SHA_000991,SHA (000991)
GOOG/SHA_000992,SHA (000992)
GOOG/SHA_000993,SHA (000993)
GOOG/SHA_000994,SHA (000994)
GOOG/SHA_000995,SHA (000995)
GOOG/SHA_000996,SHA (000996)
GOOG/SHA_000997,SHA (000997)
GOOG/SHA_000998,SHA (000998)
GOOG/SHA_000999,SHA (000999)
GOOG/SHA_600000,Shanghai Pudong Development Bank Co. Ltd (600000)
GOOG/SHA_600004,Guangzhou Baiyun International Airport (600004)
GOOG/SHA_600005,"Wuhan Iron and Steel Co., Ltd. (600005)"
GOOG/SHA_600006,"Dongfeng Automobile Co., Ltd (600006)"
GOOG/SHA_600007,China World Trade Center Co. Ltd. (600007)
GOOG/SHA_600008,"Beijing Capital Co., Ltd. (600008)"
GOOG/SHA_600009,"Shanghai International Airport Co., Ltd. (600009)"
GOOG/SHA_600010,"Inner Mongolia BaoTou Steel Union Co., (600010)"
GOOG/SHA_600011,Huaneng Power International Inc (600011)
GOOG/SHA_600012,Anhui Expressway Co Ltd (600012)
GOOG/SHA_600015,"Hua Xia Bank Co., Limited (600015)"
GOOG/SHA_600016,China Minsheng Banking Corp Ltd (600016)
GOOG/SHA_600017,"Rizhao Port Co., Ltd. (600017)"
GOOG/SHA_600018,Shanghai International Port Group Co Ltd (600018)
GOOG/SHA_600019,"Baoshan Iron &amp; Steel Co., Ltd. (600019)"
GOOG/SHA_600020,Henan Zhongyuan Expressway Co Ltd (600020)
GOOG/SHA_600021,Shanghai Electric Power Company Limited (600021)
GOOG/SHA_600022,Shandong Iron and Steel Co Ltd (600022)
GOOG/SHA_600026,China Shipping Development Co Ltd (600026)
GOOG/SHA_600027,Huadian Power International Corp. Ltd (600027)
GOOG/SHA_600028,China Petroleum &amp; Chemical Corp (600028)
GOOG/SHA_600029,China Southern Airlines Co Ltd (600029)
GOOG/SHA_600030,CITIC Securities Company Limited (600030)
GOOG/SHA_600031,"Sany Heavy Industry Co., LTD (600031)"
GOOG/SHA_600033,"Fujian Expressway Development Co., Ltd. (600033)"
GOOG/SHA_600035,"Hubei Chutian Expressway Co., Ltd (600035)"
GOOG/SHA_600036,"China Merchants Bank Co., Ltd (600036)"
GOOG/SHA_600037,"Beijing Gehua CATV Network Co., Ltd. (600037)"
GOOG/SHA_600038,AVIC Helicopter Co Ltd (600038)
GOOG/SHA_600039,"Sichuan Road &amp; Bridge Co., Ltd (600039)"
GOOG/SHA_600048,"Poly Real Estate Group Co., Ltd (600048)"
GOOG/SHA_600050,China United Network Communications Ltd (600050)
GOOG/SHA_600051,"Ningbo United Group Co. , Ltd. (600051)"
GOOG/SHA_600052,"Zhejiang Guangsha Co., Ltd. (600052)"
GOOG/SHA_600053,"Jiangxi Zhongjiang Real Estate Co., Ltd. (600053)"
GOOG/SHA_600054,"Huangshan Tourism Development Co., Ltd (600054)"
GOOG/SHA_600055,China Resources Wandong Medical Equipmnt (600055)
GOOG/SHA_600056,China Medicine Health Industry Co Ltd (600056)
GOOG/SHA_600057,Xiamen Xiangyu Co Ltd (600057)
GOOG/SHA_600058,"Minmetals Development Co., Ltd. (600058)"
GOOG/SHA_600059,Zhejiang GuYueLongShan Shaoxing Wine Co. (600059)
GOOG/SHA_600060,"Hisense Electric Co., Ltd (600060)"
GOOG/SHA_600061,Sinotex Investment &amp; Development Co. (600061)
GOOG/SHA_600062,China Resources Dubl-Crne Phrmctl Co Ltd (600062)
GOOG/SHA_600063,Anhui Wanwei Upd Hi-Tech Material Ind Co (600063)
GOOG/SHA_600064,Nanjing Gaoke Co Ltd (600064)
GOOG/SHA_600066,"Zhengzhou Yutong Bus Co., Ltd. (600066)"
GOOG/SHA_600067,"Citychamp Dartong Co., Ltd. (600067)"
GOOG/SHA_600068,China Gezhouba Group Company Limited (600068)
GOOG/SHA_600069,Henan Yinge Industrial Investment Co Ltd (600069)
GOOG/SHA_600070,"Zhejiang Furun Co., Ltd. (600070)"
GOOG/SHA_600071,Phenix Optical Company Limited (600071)
GOOG/SHA_600072,CSSC Steel Structure Engineering Co Ltd (600072)
GOOG/SHA_600073,"Shanghai Maling Aquarius Co., Ltd (600073)"
GOOG/SHA_600074,Jiangsu Protruly Technology Group Co Ltd (600074)
GOOG/SHA_600075,"Xinjiang Tianye Co.,Ltd (600075)"
GOOG/SHA_600076,Weifang Beida Jade Bird Huaguang Tech. (600076)
GOOG/SHA_600077,Sundy Land Investment Co Ltd (600077)
GOOG/SHA_600078,Jiangsu Chengxing Phosph-Chemicals Co. (600078)
GOOG/SHA_600079,Humanwell Healthcare Group Co Ltd (600079)
GOOG/SHA_600080,Ginwa Enterprise (Group) Inc. (600080)
GOOG/SHA_600081,Dongfeng Electronic Technology Co Ltd (600081)
GOOG/SHA_600082,Tianjin Hi-Tech Development Co Ltd (600082)
GOOG/SHA_600083,"Guangdong Boxin Invstng &amp; Hdngs Co., Ltd (600083)"
GOOG/SHA_600084,Citic Guoan Wine Co Ltd (600084)
GOOG/SHA_600085,"Beijing Tongrentang Co., Ltd. (600085)"
